               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097742,            0.010101,                   0,             0.14019,              0.2874,            0.091619,            0.017899,            0.059841,           0.0072291,                   0,             0.00205,             0.00205,             0.08155
                   1,            0.065124,           0.0084343,                   0,             0.49972,             0.43849,             0.42998,             0.13395,            0.049033,           0.0050204,                   0,           0.0041094,           0.0041094,            0.063009
                   2,            0.059058,           0.0076344,                   0,             0.58708,             0.60433,             0.56587,              0.1837,            0.046558,           0.0046261,                   0,           0.0061662,           0.0061662,            0.044466
                   3,            0.056098,           0.0067377,                   0,             0.58847,             0.43701,             0.43532,             0.14358,            0.044446,           0.0051747,                   0,           0.0082186,           0.0082186,            0.025919
                   4,            0.059974,            0.006822,                   0,             0.76812,             0.53937,             0.61809,             0.20681,            0.047575,           0.0041688,                   0,           0.0099753,           0.0099753,           0.0099753
                   5,            0.057634,           0.0068468,                   0,             0.80965,             0.71457,             0.75183,             0.25055,             0.04078,           0.0042817,                   0,           0.0099753,           0.0099753,           0.0099753
                   6,            0.054363,           0.0064803,                   0,              0.7866,              0.6752,             0.72817,             0.26249,            0.041503,           0.0037629,                   0,           0.0099615,           0.0099615,           0.0099615
                   7,            0.050436,           0.0060096,                   0,             0.81725,             0.73945,             0.78684,              0.3141,            0.036754,           0.0036134,                   0,           0.0099446,           0.0099446,           0.0099446
                   8,             0.04951,           0.0057824,                   0,              0.8093,             0.71007,              0.7627,             0.28869,            0.038645,           0.0035214,                   0,           0.0099246,           0.0099246,           0.0099246
                   9,            0.046336,           0.0058659,                   0,             0.84632,             0.77362,             0.81119,             0.33877,            0.036135,           0.0033412,                   0,           0.0099017,           0.0099017,           0.0099017
                  10,            0.044149,            0.005766,                   0,             0.89453,              0.8189,             0.86226,             0.37598,             0.03507,           0.0031426,                   0,           0.0098757,           0.0098757,           0.0098757
                  11,            0.044797,           0.0055804,                   0,             0.90153,             0.79294,             0.85797,             0.36149,            0.033499,           0.0031818,                   0,           0.0098467,           0.0098467,           0.0098467
                  12,            0.043729,           0.0051519,                   0,             0.85999,             0.81299,             0.85615,             0.38725,            0.034089,           0.0031279,                   0,           0.0098147,           0.0098147,           0.0098147
                  13,            0.042939,           0.0052377,                   0,             0.86961,             0.84055,             0.87683,             0.37915,            0.034057,           0.0029765,                   0,           0.0097798,           0.0097798,           0.0097798
                  14,            0.042053,           0.0053785,                   0,             0.86469,             0.80709,             0.84431,             0.37131,            0.035239,           0.0031654,                   0,           0.0097419,           0.0097419,           0.0097419
                  15,             0.04182,           0.0052497,                   0,             0.94515,             0.82283,             0.88802,             0.39071,            0.032592,           0.0029881,                   0,           0.0097011,           0.0097011,           0.0097011
                  16,            0.041219,           0.0049824,                   0,             0.87136,             0.82668,             0.85613,             0.37865,            0.033077,           0.0028969,                   0,           0.0096575,           0.0096575,           0.0096575
                  17,            0.040923,           0.0048447,                   0,             0.90039,             0.77559,             0.84968,             0.39226,            0.033876,           0.0029751,                   0,            0.009611,            0.009611,            0.009611
                  18,            0.041877,           0.0050656,                   0,             0.87469,             0.82444,             0.86647,             0.38873,            0.032788,           0.0028818,                   0,           0.0095616,           0.0095616,           0.0095616
                  19,            0.040344,            0.004913,                   0,             0.85476,              0.8573,             0.87622,             0.40246,            0.032612,           0.0029271,                   0,           0.0095095,           0.0095095,           0.0095095
                  20,            0.041559,           0.0047807,                   0,             0.90769,             0.85236,             0.90194,              0.4131,            0.032654,           0.0027061,                   0,           0.0094547,           0.0094547,           0.0094547
                  21,            0.039155,           0.0045774,                   0,             0.90923,             0.82813,             0.87267,             0.41278,            0.033085,           0.0029686,                   0,           0.0093971,           0.0093971,           0.0093971
                  22,            0.040758,           0.0047586,                   0,             0.90888,             0.82469,             0.87217,             0.38402,            0.032852,           0.0027883,                   0,           0.0093369,           0.0093369,           0.0093369
                  23,            0.038669,           0.0046635,                   0,             0.88876,             0.82283,             0.89444,             0.43803,            0.031145,           0.0027934,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.037721,            0.004674,                   0,             0.92472,             0.84843,             0.90005,             0.44175,            0.030588,           0.0026835,                   0,           0.0092086,           0.0092086,           0.0092086
                  25,            0.037788,           0.0043469,                   0,             0.93156,             0.83065,             0.89619,             0.43826,            0.031527,           0.0026564,                   0,           0.0091406,           0.0091406,           0.0091406
                  26,            0.037582,           0.0045646,                   0,             0.90063,             0.85827,             0.89507,             0.42732,            0.030879,           0.0025702,                   0,           0.0090701,           0.0090701,           0.0090701
                  27,            0.037229,           0.0045298,                   0,             0.91479,             0.87205,             0.90828,             0.44088,            0.030367,            0.002516,                   0,           0.0089972,           0.0089972,           0.0089972
                  28,            0.037365,           0.0046058,                   0,             0.91535,             0.83268,             0.88453,             0.43328,            0.030231,           0.0026583,                   0,           0.0089218,           0.0089218,           0.0089218
                  29,            0.037047,           0.0043686,                   0,             0.93727,              0.8563,             0.90362,             0.43529,            0.032416,           0.0025875,                   0,           0.0088442,           0.0088442,           0.0088442
                  30,            0.036894,           0.0044192,                   0,             0.93317,             0.85433,             0.91399,             0.45966,            0.030707,           0.0025573,                   0,           0.0087642,           0.0087642,           0.0087642
                  31,            0.036983,           0.0043174,                   0,             0.90949,             0.83661,             0.90489,             0.46496,            0.030495,           0.0025991,                   0,            0.008682,            0.008682,            0.008682
                  32,             0.03736,           0.0043389,                   0,              0.9033,             0.84646,             0.89273,             0.42504,            0.030808,           0.0026792,                   0,           0.0085976,           0.0085976,           0.0085976
                  33,            0.036259,           0.0042851,                   0,             0.91041,             0.86013,             0.90792,             0.44113,            0.030604,           0.0025798,                   0,           0.0085111,           0.0085111,           0.0085111
                  34,             0.03537,           0.0042334,                   0,             0.89854,             0.85433,             0.89794,             0.44984,            0.028631,           0.0026576,                   0,           0.0084225,           0.0084225,           0.0084225
                  35,            0.035637,           0.0042857,                   0,             0.89737,             0.87785,             0.90758,             0.44736,            0.029127,           0.0024913,                   0,           0.0083319,           0.0083319,           0.0083319
